PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,26.1,0.0,0,0,0,41.4,87.1,1006.3,217,1.9
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,25.2,0.0,0,0,0,41.5,88.0,1006.0,223,1.7
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,24.6,0.0,0,0,0,41.6,89.3,1006.2,231,1.6
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,24.2,0.0,0,0,0,41.8,90.9,1006.9,242,1.5
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,23.8,0.0,0,0,0,41.9,92.6,1007.5,254,1.4
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,24.3,6.8,41,2,41,42.0,90.4,1008.1,260,1.3
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,25.6,18.5,151,7,153,41.8,84.7,1008.6,261,1.2
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,26.9,34.6,248,0,248,41.7,79.4,1009.1,261,1.0
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,28.3,36.1,347,0,347,41.7,73.3,1009.0,259,0.7
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,29.7,30.1,464,0,464,41.9,66.7,1008.2,243,0.3
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,31.2,17.6,536,72,599,42.1,60.7,1007.5,149,0.2
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,31.9,2.5,457,280,696,42.1,55.9,1006.8,142,0.5
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,32.0,0.7,400,290,626,42.0,51.9,1006.1,160,0.8
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,32.1,0.0,328,244,487,41.9,48.2,1005.5,167,1.2
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,31.6,0.0,232,148,304,41.7,49.0,1005.5,178,1.6
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,30.6,0.0,114,38,126,41.2,54.3,1006.0,190,2.0
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,29.6,0.0,16,0,16,40.7,60.1,1006.6,197,2.5
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,28.8,0.0,0,0,0,40.0,65.8,1007.2,201,2.8
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,28.1,0.0,0,0,0,39.1,70.9,1007.8,203,2.8
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,27.4,0.0,0,0,0,38.2,76.5,1008.5,206,2.8
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,27.0,0.0,0,0,0,37.4,80.8,1008.7,211,2.6
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,26.9,0.0,0,0,0,36.7,83.8,1008.5,222,2.4
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,26.8,0.0,0,0,0,36.0,86.8,1008.4,234,2.2
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,26.3,0.0,0,0,0,35.4,89.1,1008.2,243,2.0
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,25.3,0.0,0,0,0,34.8,90.7,1008.0,251,1.6
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,24.4,0.0,0,0,0,34.2,92.3,1007.8,263,1.2
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,23.8,0.0,0,0,0,33.7,93.0,1008.0,281,1.0
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,23.5,0.0,0,0,0,33.1,92.8,1008.5,302,0.9
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,23.2,1.5,0,0,0,32.5,92.5,1009.0,324,1.0
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,23.6,8.6,42,3,43,31.7,87.6,1009.6,341,1.2
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,24.7,0.0,158,76,187,30.6,78.8,1010.1,354,1.4
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,25.8,0.0,270,203,382,29.5,71.0,1010.6,3,1.7
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,27.4,0.0,356,283,556,28.2,62.6,1010.6,14,1.9
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,29.3,0.0,403,351,689,26.6,54.2,1009.9,27,2.1
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,31.3,0.0,413,404,762,25.0,47.0,1009.2,37,2.4
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,32.2,0.0,367,491,785,24.1,41.4,1008.4,46,2.3
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,32.3,0.0,331,482,707,24.0,37.1,1007.4,60,1.8
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,32.3,0.0,285,415,556,23.9,33.2,1006.5,84,1.5
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,31.6,0.0,214,295,357,23.8,34.3,1006.2,114,1.2
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,30.2,0.0,115,117,150,23.8,40.9,1006.6,152,1.3
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,28.8,0.0,18,7,19,23.8,48.8,1007.0,178,1.7
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,27.6,0.0,0,0,0,23.9,55.8,1007.5,190,2.0
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,26.7,0.0,0,0,0,24.0,61.2,1008.1,197,2.0
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,25.8,0.0,0,0,0,24.2,67.1,1008.8,205,2.0
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,25.5,0.0,0,0,0,24.6,72.1,1009.1,213,2.0
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,25.7,0.0,0,0,0,25.4,76.1,1009.1,222,2.0
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,25.9,0.0,0,0,0,26.1,80.2,1009.2,230,2.0
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,25.5,0.0,0,0,0,26.4,82.4,1009.0,239,1.8
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,24.5,0.0,0,0,0,26.3,82.5,1008.6,252,1.3
2019-01-02T03:00:00Z,2019-01-02T02:00:00Z,PT60M,23.4,0.0,0,0,0,26.2,82.6,1008.3,277,1.0
2019-01-02T04:00:00Z,2019-01-02T03:00:00Z,PT60M,22.7,0.0,0,0,0,26.0,83.2,1008.3,303,0.8
2019-01-02T05:00:00Z,2019-01-02T04:00:00Z,PT60M,22.3,0.0,0,0,0,25.9,84.2,1008.6,320,0.8
2019-01-02T06:00:00Z,2019-01-02T05:00:00Z,PT60M,21.8,0.0,0,0,0,25.7,85.2,1008.9,336,0.9
2019-01-02T07:00:00Z,2019-01-02T06:00:00Z,PT60M,22.3,7.8,41,0,41,25.5,81.9,1009.2,346,0.9
2019-01-02T08:00:00Z,2019-01-02T07:00:00Z,PT60M,23.8,3.7,161,78,193,25.2,75.1,1009.7,353,0.8
2019-01-02T09:00:00Z,2019-01-02T08:00:00Z,PT60M,25.2,0.0,265,243,398,24.9,68.9,1010.2,3,0.7
2019-01-02T10:00:00Z,2019-01-02T09:00:00Z,PT60M,27.0,0.2,357,291,562,25.3,62.6,1010.0,7,0.7
2019-01-02T11:00:00Z,2019-01-02T10:00:00Z,PT60M,29.0,11.1,517,120,613,26.3,56.3,1009.3,4,0.8
2019-01-02T12:00:00Z,2019-01-02T11:00:00Z,PT60M,31.0,12.0,557,123,663,27.3,50.8,1008.6,1,0.8
2019-01-02T13:00:00Z,2019-01-02T12:00:00Z,PT60M,31.9,0.2,418,378,741,27.9,46.1,1007.9,353,0.6
